kata,kelas
aa,Nomina
aabi,Nomina
aabinomin,Nomina
aaji,Nomina
aal,Nomina
aan,Nomina
aau,Nomina
aaui,Nomina
ab,Nomina
aba,Nomina
aba-aba,Nomina
abaaka,Nomina
abab,Nomina
abad,Nomina
abadi,Adjektiva
abadiah,Nomina
abah,Nomina
abah-abah,Nomina
abahabah,Adjektiva
abahan,Klasik
abahui,Verba
abai,Nomina
abaian,Nomina
abaimana,Nomina
abajang,Verba
abaka,Nomina
abaksial,Adjektiva
abaktinal,Adjektiva
abakus,Nomina
abal,prakategorial
abal-abal,Nomina
abalalu,Adjektiva
abalone,Nomina
abam,Nomina
abampere,Nomina
aban,Nomina
abanat,Verba
abandira,Nomina
abandonemen,Nomina
abang,Nomina
abangan,Nomina
abangda,Nomina
abangga,Nomina
abano,Nomina
abap,Nomina
abar,Nomina
abar-abar,Nomina
abaran,Nomina
abarumbung,Nomina
abas,Nomina
abas-abas,Nomina
abasia,Nomina
abat,Nomina
abate,Nomina
abatis,Nomina
abatisasi,Nomina
abatoar,Nomina
abaton,Nomina
abau,Nomina
abawi,Nomina
abaya,Nomina
abdas,prakategorial
abdi,Nomina
abdikasi,Nomina
abdikasim,Nomina
abdis,Nomina
abdomen,Nomina
abdominal,Adjektiva
abdominoplasti,Nomina
abdu,Nomina
abduksi,Nomina
abduktor,Nomina
abdusen,Nomina
abe,Nomina
abece,Nomina
abek,Nomina
abeli,Verba
aben,prakategorial
aber,Adjektiva
aberasi,Nomina
abet,Nomina
abg,Nomina
abi,Nomina
abian,Nomina
abib,Nomina
abibliofobia,Nomina
abid,Nomina
abidin,Nomina
abih,Verba
abikara,Nomina
abila,Nomina
abilah,Nomina
abina,Nomina
abing,Nomina
abiogenesis,Nomina
abiogenik,Adjektiva
abiologi,Nomina
abiosen,Nomina
abioseston,Nomina
abiosfer,Nomina
abiotik,Adjektiva
abiotrofi,Nomina
abir,Nomina
abis,Verba
abisal,Adjektiva
abiseka,Nomina
abisobentos,Nomina
abisopelagik,Nomina
abit,Nomina
abiti,Verba
abiturien,Nomina
abjad,Nomina
abjadiah,Adjektiva
abjeksi,Nomina
abk,Nomina
abklats,Nomina
ablasi,Nomina
ablastin,Nomina
ablatif,Adjektiva
ablaut,Nomina
ableisme,Nomina
ablepsia,Nomina
abnon,Nomina
abnormal,Adjektiva
abnormalitas,Nomina
abnus,Nomina
abo,Nomina
aboa,Adjektiva
abobo,Nomina
aboi,Nomina
abolisi,Nomina
abomasum,Nomina
abon,Nomina
abone,Nomina
abonemen,Nomina
abong-abong,Partikel
aboospora,Nomina
abor,Adjektiva
aboral,Adjektiva
aborigin,Nomina
aborsi,Nomina
abortif,Adjektiva
abortiva,Nomina
abortus,Nomina
abot,Nomina
abotoi,Nomina
aboya,Nomina
abpar,Nomina
abrab,Nomina
abrag,Nomina
abrak,Nomina
abrakadabra,Nomina
abrar,Adjektiva
abras,Adjektiva
abrasi,Nomina
abrasif,Nomina
abreaksi,Nomina
abrek,prakategorial
abreviasi,Nomina
abri,Nomina
abrikos,Nomina
abrin,Nomina
abrip,Nomina
abripda,Nomina
abriptu,Nomina
abrit-abritan,Verba
abrogasi,Nomina
abrosfer,Nomina
abrosia,Nomina
abrupsi,Nomina
abs,Nomina
absah,Adjektiva
absen,Verba
absensi,Nomina
absente,Nomina
absenteisme,Nomina
abses,Nomina
absis,Nomina
absisi,Nomina
absolusi,Nomina
absolut,Adjektiva
absolutisme,Nomina
absonan,Adjektiva
absorb,prakategorial
absorbat,Nomina
absorben,Nomina
absorpsi,Nomina
absorpsiometer,Nomina
absorpsiometri,Nomina
absorptans,Nomina
absorptif,Adjektiva
absorptivitas,Nomina
abstain,Verba
abstensi,Nomina
abstinensi,Nomina
abstrak,Nomina
abstraksi,Nomina
abstraksionisme,Nomina
absurd,Adjektiva
absurdisme,Nomina
absurditas,Nomina
abt,Nomina
abtar,Adjektiva
abti,Nomina
abu,Nomina
abu-abu,Nomina
abuan,Nomina
abubu,Nomina
abudaga,Nomina
abudo,Nomina
abuh,Nomina
abuh-abuhan,Adjektiva
abuhan,Adjektiva
abui,Nomina
abuja,Nomina
abuk,Nomina
abuk-abuk,Nomina
abukajung,Nomina
abul,Verba
abulhayat,Nomina
abulia,Nomina
abulus,Verba
abumi,Nomina
abun,Nomina
abun-abun,Nomina
abung,Nomina
abur,Adjektiva
aburage,Nomina
aburan,Nomina
abus,Verba
abut,Adjektiva
abutmen,Nomina
abuya,Nomina
abuza,Adjektiva
abyad,Adjektiva
abyor,Verba
ac,Nomina
acabis,Verba
acah,prakategorial
acak,Adjektiva
acak-acak,Adverbia
acak-acakan,Adjektiva
acakadul,Adjektiva
acakadut,Adjektiva
acala,Adjektiva
acan,prakategorial
acan-acan,Nomina
acang,Nomina
acang-acang,Nomina
acap,Nomina
acap-acap,Adverbia
acapkali,Adverbia
acar,Nomina
acara,prakategorial
acaraki,Nomina
acaram,Nomina
acarya,Nomina
acat,prakategorial
acatan,Nomina
acau,prakategorial
acawi,Nomina
acc,Nomina
accelerando,Ungkapan
accoord,Ungkapan
ace,Nomina
aceh,Nomina
acekarom,Nomina
aceng,Nomina
acerang,Nomina
aci,Nomina
aci-aci,Nomina
aci-acian,Nomina
aci-acinya,Adverbia
acian,Nomina
acik,Nomina
acingara,Adjektiva
acintia,Adjektiva
aco,Verba
