tidak_baku,bentuk_baku
/rãªpal/,berepal
abadiat,abadiah
abdul,abdu
abimana,abaimana
abjat,abjad
ablur,hablur
abrap,abrab
abrop,abrab
absorbsi,absorpsi
acan,acah
aci,acik
ada kalanya,adakalanya
adan,azan
adek,adik
adenda,adendum
adenin,adenina
adesi,adhesi
adhan,azan
adikanda,adinda
aditorium,auditorium
adjektif,adjektiva
administratur,administrator
adpertensi,advertensi
adpis,advis
adpokat,alpukat
adstringen,astringen
advokat,alpukat
adzab,azab
adzan,azan
aestetika,estetika
aetiologi,etiologi
afdol,afdal
afektifitas,afektivitas
afesis,aferesis
afuah,afwah
agamani,agamawi
agel,agal
aglonema,aglaonema
agresifitas,agresivitas
agribisnis,agrobisnis
agung,gung
aherat,akhirat
ahir,akhir
ahirat,akhirat
ahlak,akhlak
ahlilkitab,ahlulkitab
aih,ai
ajab,azab
ajeg,ajek
ajektif,adjektiva
ajektiva,adjektiva
ajimat,azimat
ajre,arja
ajufan,adjuvan
ajung,jung
ajuster,adjuster
akad,ahad
akas kaya,kaskaya
akekah,akikah
akherat,akhirat
akhirul kalam,akhirulkalam
akhlaq,akhlak
akhlas,ikhlas
akhli,ahli
akhwan,ikhwan
aklimasi,aklimatisasi
akor,akur
aksesoris,aksesori
akte,akta
aktifitas,aktivitas
aktip,aktif
aktuil,aktual
akupuntur,akupunktur
algoritme,algoritma
alip,alif
aliyah,aliah
allahumma,allahuma
almari,lemari
alpokat,alpukat
alu,elu
alumunium,aluminium
ama,hama
amandemen,amendemen
ambalela,balela
ambarau,embarau
ambat,hambat
ambeg,ambek
amberal,admiral
ambeyen,ambeien
ambin,amben
ambo,hamba
ambril,amril
ambulan,ambulans
ami,umi
amien,amin
amirulbahri,amirulbahar
ammabakdu,amabakdu
ammi,ami
amoniak,amonia
ampelam,mempelam
amperometer,amperemeter
ampibi,amfibi
amplas,ampelas
ampu,empu
ampung,apung
amputir,amputasi
amuba,ameba
analisa,analisis
anamel,enamel
anastesi,anestesi
ancing,hancing
ancur,hancur
andai,handai
anderik,anderak
andikara,adikara
anduk,handuk
anestesi,anestesia
anggorokasih,anggarakasih
anggu,peranggu
angkar,angker
angkus,angkusa
angpao,angpau
angsang,insang
angus,hangus
anjangsono,anjangsana
anoda,anode
ansambel,ensambel
ansor,ansar
ansori,ansari
antalas,antelas
antartika,antarktika
antene,antena
antep,antap
antimon,antimonium
antoi,antui
antri,antre
anugrah,anugerah
anyak,enyak
anyak-anyik,onyak-anyik
anyik,onyak-anyik
aparteid,apartheid
apek,apak
apem,apam
apiun,opium
apkir,afkir
aplus,aplaus
aporisma,aforisme
apotik,apotek
apus,hapus
aqidah,akidah
arbitrasi,arbitrase
arerut,ararut
aria,arya
aring,urang-aring
aritmatika,aritmetika
arowana,arwana
artifak,artefak
artik,arktika
artisyok,articok
arum,harum
arun,harum
asabiyah,asabiah
asem,asam
ashar,asar
asik,asyik
asinkronus,asinkron
assalamualaikum,asalamualaikum
astana,istana
astronot,astronaut
asyar,asar
atheis,ateis
ati,hati
atlit,atlet
atmosfir,atmosfer
atsiri,asiri
auto,oto
autologi,otologi
automatis,otomatis
autoskop,otoskop
autotropik,autotrofik
avertebrata,invertebrata
ayanda,ayahanda
ayid,ayit
ayuk,ayut
azali,asali
azamat,azmat
azas,asas
azemat,azmat
babah,baba
babar,bebar
babtis,baptis
bacak,bacek
bada,bakda
bafta,baftah
bahagi,bagi
baham,geraham
bahu membahu,bahu-membahu
baitulmukadas,baitulmaqdis
baitulmukadis,baitulmaqdis
bakhsis,baksis
bakpau,bakpao
bakterisid,bakterisida
balang,belang
bale-bale,balai-balai
baligh,balig
balit,belit
balsem,balsam
bamper,bumper
bancah,bencah
bandang,bandeng
bandha,banda
bandring,bandering
bandrol,banderol
bangker,bunker
banglo,bungalo
banian,benian
banker,bunker
banrol,banderol
bansai,banzai
banteras,berantas
bantet,bantat
banu,bani
bapao,bakpao
baqa,baka
baragajul,bergajul
barang kali,barangkali
barangan,berangan
baras,abras
barbekyu,barbeku
barbir,barber
barep,barap
bargas,barkas
bari,bahari
baris berbaris,baris-berbaris
barkas,berkas
baronsai,barongsai
barza,barzakh
barzah,barzakh
basa,bahasa
basekat,baskat
baskat,beskap
baso,bakso
basoka,bazoka
batau,baktau
batela,batel
batere,baterai
baterei,baterai
bathil,batil
bathin,batin
batil,batel
batila,batel
baud,baut
baya,bahaya
bayat,baiat
bayem,bayam
bazaar,bazar
bea siswa,beasiswa
bebeksan,beksan
becolok,bicokok
bedar,bidar
bedong,bedung
begadang,bergadang
begandring,begandering
begar,bega
begasi,bagasi
begimana,bagaimana
behena,bena
behina,bena
bekasam,pekasam
bekukung,bekuku
bela sungkawa,belasungkawa
belakin,belangkin
belangko,blangko
belata,pelata
beldu,beludru
beled,beleid
belederu,beludru
belender,blender
belis,iblis
belolok,beluluk
beluk,seluk
belur,balur
bembet,bimbit
bemper,bumper
bendar,bandar
bendara,bendahara
bendari,bendahari
bendel,bundel
bendela,bandela
bengik,bengek
bengkap,benkap
bengkoang,bengkuang
bengkol,pengkol
bensol,benzol
bentes,benteh
bentik,betik
bentil,pentil
bentoh,bantah
berangsong,berongsong
bercermin,becermin
berenga,bernga
bererot,rerot
berfikir,berpikir
bergedel,perkedel
berhana,seberhana
beringisan,peringis
berokat,brokat
beronsang,berongsang
berterbangan,beterbangan
berzanji,barzanji
besemah,basemah
beskat,beskap
bestik,bistik
betara,batara
betari,batari
beti-beti,biti
bhineka,bineka
bia,bea
bidaah,bidah
bidari,bidadari
biduri,baiduri
bienale,bienial
bihalal,halalbihalal
bihari,bahari
bihausy,bius
bika,bikang
bilyar,biliar
bilyun,biliun
bima sakti,bimasakti
binari,biner
binatu,penatu
bincacau,bincacak
biomolekular,biomolekuler
biosekuritas,biosekuriti
birahi,berahi
bis,bus
bisan,besan
bisbol,bisbul
bisep,biseps
biskal,beskal
blangkon,belangkon
blanko,blangko
blepot,lepot
bloon,beloon
bodo,bodoh
bohok,buhuk
bolos,bulus
bolpen,bolpoin
